Disease,Specialist
Fungal infection,Dermatologist
Allergy,Allergist
GERD,Gastroenterologist
Chronic cholestasis,Hepatologist
Drug Reaction,Allergist
Peptic ulcer disease,Gastroenterologist
AIDS,Infectious Disease Specialist
Diabetes,Endocrinologist
Gastroenteritis,Gastroenterologist
Bronchial Asthma,Pulmonologist
Hypertension,Cardiologist
Migraine,Neurologist
Cervical spondylosis,Orthopedic Specialist
Paralysis (brain hemorrhage),Neurologist
Jaundice,Hepatologist
Malaria,Infectious Disease Specialist
Chicken pox,Infectious Disease Specialist
Dengue,Infectious Disease Specialist
Typhoid,Infectious Disease Specialist
Hepatitis A,Hepatologist
Hepatitis B,Hepatologist
Hepatitis C,Hepatologist
Hepatitis D,Hepatologist
Hepatitis E,Hepatologist
Alcoholic hepatitis,Hepatologist
Tuberculosis,Pulmonologist
Common Cold,General Physician
Pneumonia,Pulmonologist
Dimorphic hemorrhoids (piles),Proctologist
Heart attack,Cardiologist
Varicose veins,Vascular Surgeon
Hypothyroidism,Endocrinologist
Hyperthyroidism,Endocrinologist
Hypoglycemia,Endocrinologist
Osteoarthritis,Rheumatologist
Arthritis,Rheumatologist
(vertigo) Paroxysmal Positional Vertigo,Neurologist
Acne,Dermatologist
Urinary tract infection,Urologist
Psoriasis,Dermatologist
Impetigo,Dermatologist
